ID;ACCESSION;SOURCE;ORGANISM;AUTHORS;TITLE;Assembly Method;Sequencing Technology;Location/Qualifiers;genotype;organism;mol_type;isolation_source;host;country;note
2576388895;OQ433914;"Hepeviridae sp. PRsw1
";"Hepeviridae sp. PRsw1
";"Dos Santos,D.R.L., Duraes-Carvalho,R., Gardinali,N.R.,
";"Uncovering neglected subtypes and zoonotic transmission of
";NA;"Sanger dideoxy sequencing
";         1..7215;NA;"""Hepeviridae sp. PRsw1""";"""genomic RNA""";NA;"""pig""";NA;"""ORF1"""
2574440105;OR224867;"Hepeviridae sp.
";"Hepeviridae sp.
";"Liu,T., Yuan,D. and Wang,L.
";"Direct Submission
";"MobaXterm v. 2022.1.6
";"PacBio
";         1..7296;NA;"""Hepeviridae sp.""";"""genomic RNA""";"""feces""";"""rabbit""";"""China""";"""ORF1"""
2553477909;MZ751062;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Liang,C., Zhao,C., Huang,W., Wang,Y. and She,R.
";"Direct Submission
";"spades v. 3.0.1
";"Illumina
";         1..7331;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""feces""";"""rabbit""";"""China""";"""offspring of gdc9"""
2553477905;MZ751061;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Liang,C., Zhao,C., Huang,W., Wang,Y. and She,R.
";"Direct Submission
";"spades v. v3.0.1
";"Illumina
";         1..7311;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""feces""";"""rabbit""";"""China""";"""offspring of gdc9"""
2550033136;LC704570;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi,M., Kunita,S., Nishizawa,T., Ohnishi,H.,
";"Infection Dynamics and Genomic Mutations of Hepatitis E Virus in
";NA;NA;         1..7247;"genotype 3 (subtype 3b)""";"""Paslahepevirus balayani""";"""genomic RNA""";"""feces""";"""domestic pig (Sus scrofa domestica)""";"""Japan""";"""ORF1"""
2550033132;LC704569;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi,M., Kunita,S., Nishizawa,T., Ohnishi,H.,
";"Infection Dynamics and Genomic Mutations of Hepatitis E Virus in
";NA;NA;         1..7246;"genotype 3 (subtype 3b)""";"""Paslahepevirus balayani""";"""genomic RNA""";"""serum""";"""domestic pig (Sus scrofa domestica)""";"""Japan""";"""ORF1"""
1862959480;LR777865;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Pierini,I.
";"Direct Submission
";NA;NA;         1..7232;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;NA;NA;"""monopartite"""
2528474488;OP909736;"Hepeviridae sp.
";"Hepeviridae sp.
";"Klink,P., Harms,D., Altmann,B., Dorffel,Y., Morgera,U., Zander,S.,
";"Molecular characterisation of a rabbit Hepatitis E Virus strain
";"bwa v. 0.7.15
";"Illumina
";         1..7282;NA;"""Hepeviridae sp.""";"""genomic RNA""";"""stool""";"""Homo sapiens""";"""Germany""";"""genotype: 3ra"""
2528474484;OP909735;"Hepeviridae sp.
";"Hepeviridae sp.
";"Klink,P., Harms,D., Altmann,B., Dorffel,Y., Morgera,U., Zander,S.,
";"Molecular characterisation of a rabbit Hepatitis E Virus strain
";"bwa v. 0.7.15
";"Illumina
";         1..7282;NA;"""Hepeviridae sp.""";"""genomic RNA""";"""plasma""";"""Homo sapiens""";"""Germany""";"""genotype: 3ra"""
2515761956;OQ801358;"Hepeviridae sp. (fecal metagenome)
";"Hepeviridae sp.
";"Ying,D., Niu,W., Chen,Y., Wang,Y., Tian,W., Zhang,X., Liu,C.,
";"Chronic Hepatitis E Virus Infection in an Immunocompetent
";"SPAdes v. 3.11.0
";"Illumina
";         1..7292;NA;"""Hepeviridae sp.""";"""genomic RNA""";"""feces""";"""Homo sapiens""";"""China""";"""metagenomic; genotype: 3a"""
